epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,42612.2,1.08836,0.61361,1.29554,0.87795,0.89626,0.9035,0.53362,1.46821,0.61995,1.65073,0.000538,0.000538,0.000538
86,43155.3,1.11763,0.58248,1.31306,0.85739,0.88862,0.87973,0.52438,1.43631,0.6031,1.65555,0.0005325,0.0005325,0.0005325
87,43650.3,1.09962,0.59515,1.29556,0.85594,0.9011,0.88007,0.52978,1.42226,0.59381,1.64184,0.000527,0.000527,0.000527
88,44144.2,1.04753,0.57103,1.29245,0.89697,0.84563,0.88239,0.49589,1.58636,0.65796,1.72841,0.0005215,0.0005215,0.0005215
89,44643.8,1.0358,0.58335,1.27125,0.85223,0.89181,0.88417,0.53669,1.50015,0.62277,1.69176,0.000516,0.000516,0.000516
90,45139.2,1.06061,0.56391,1.27182,0.86263,0.85446,0.87539,0.52823,1.48418,0.64469,1.70161,0.0005105,0.0005105,0.0005105
91,45634.4,1.00865,0.54457,1.2252,0.89508,0.88764,0.90012,0.52871,1.45993,0.6257,1.6817,0.000505,0.000505,0.000505
92,46129.4,1.04511,0.55648,1.26574,0.88664,0.87184,0.87727,0.53516,1.41926,0.62662,1.67686,0.0004995,0.0004995,0.0004995
93,46626.1,1.04536,0.56606,1.26545,0.8988,0.88658,0.88507,0.49873,1.58833,0.68799,1.78423,0.000494,0.000494,0.000494
94,47119.1,1.02678,0.55799,1.29881,0.88321,0.87396,0.87594,0.51377,1.49328,0.66287,1.71967,0.0004885,0.0004885,0.0004885
95,47614.8,1.01943,0.56121,1.26836,0.896,0.88376,0.8712,0.53071,1.41792,0.62761,1.68415,0.000483,0.000483,0.000483
96,48110.6,1.03445,0.55923,1.28318,0.92088,0.87717,0.89142,0.50931,1.50417,0.66523,1.70442,0.0004775,0.0004775,0.0004775
97,48603.4,1.02338,0.56468,1.27144,0.9101,0.87673,0.88953,0.52437,1.47213,0.65303,1.67051,0.000472,0.000472,0.000472
98,49099.6,1.01382,0.56008,1.2414,0.86212,0.88977,0.87194,0.48886,1.59121,0.67306,1.76063,0.0004665,0.0004665,0.0004665
99,49592.2,0.99576,0.54896,1.23228,0.85407,0.87886,0.87937,0.51978,1.46874,0.62869,1.67803,0.000461,0.000461,0.000461
100,50088,1.00525,0.53821,1.23571,0.85923,0.8657,0.86877,0.52528,1.42923,0.64773,1.64855,0.0004555,0.0004555,0.0004555
101,50582.6,0.99168,0.54138,1.24004,0.89515,0.87754,0.87706,0.52919,1.43832,0.63149,1.66943,0.00045,0.00045,0.00045
102,51078.2,0.9778,0.53024,1.22068,0.9113,0.87552,0.89223,0.529,1.43147,0.64505,1.66946,0.0004445,0.0004445,0.0004445
103,51574.3,0.99769,0.52995,1.23712,0.89354,0.86877,0.8832,0.53551,1.42507,0.63143,1.66656,0.000439,0.000439,0.000439
104,52069,1.0128,0.54037,1.26948,0.88415,0.8758,0.88353,0.52694,1.43919,0.62103,1.63884,0.0004335,0.0004335,0.0004335
105,52563.6,0.99006,0.53685,1.24094,0.8884,0.87028,0.87764,0.52825,1.4302,0.63007,1.64283,0.000428,0.000428,0.000428
106,53058.4,0.96933,0.52157,1.21021,0.90506,0.86463,0.87772,0.53216,1.42289,0.68581,1.65785,0.0004225,0.0004225,0.0004225
107,53552.5,0.95188,0.50784,1.20729,0.89146,0.88773,0.8919,0.52837,1.48644,0.67632,1.69491,0.000417,0.000417,0.000417
108,54046.6,1.01793,0.53558,1.23546,0.90057,0.88081,0.89634,0.54789,1.38995,0.6184,1.63527,0.0004115,0.0004115,0.0004115
109,54541.2,0.965,0.51178,1.22556,0.90839,0.87211,0.89577,0.5306,1.49476,0.63347,1.71844,0.000406,0.000406,0.000406
110,55037,0.97058,0.53241,1.224,0.89003,0.86693,0.87191,0.53693,1.44174,0.62592,1.6751,0.0004005,0.0004005,0.0004005
111,55532.5,0.94288,0.49944,1.19775,0.87551,0.88257,0.87453,0.54332,1.41297,0.62339,1.65065,0.000395,0.000395,0.000395
112,56027.4,0.95902,0.49945,1.20312,0.87653,0.87005,0.87008,0.51908,1.4358,0.64735,1.67975,0.0003895,0.0003895,0.0003895
113,56522.5,0.94475,0.49891,1.20714,0.88798,0.88268,0.88376,0.53286,1.4276,0.64534,1.69304,0.000384,0.000384,0.000384
114,57017.7,0.93591,0.48766,1.19394,0.89896,0.89542,0.88965,0.52629,1.46776,0.6543,1.71058,0.0003785,0.0003785,0.0003785
115,57517.7,0.93802,0.50015,1.21974,0.89746,0.87751,0.88111,0.52354,1.43251,0.64382,1.66506,0.000373,0.000373,0.000373
116,58020.7,0.93289,0.51439,1.20354,0.89182,0.8823,0.87743,0.51535,1.497,0.65977,1.70497,0.0003675,0.0003675,0.0003675
117,58515.5,0.92671,0.49711,1.20525,0.89163,0.87649,0.89028,0.54323,1.42736,0.65271,1.67199,0.000362,0.000362,0.000362
118,59009.5,0.90159,0.48353,1.17591,0.87845,0.85316,0.87397,0.53065,1.45617,0.68785,1.69041,0.0003565,0.0003565,0.0003565
119,59505.8,0.90058,0.48266,1.18763,0.91299,0.865,0.89342,0.53768,1.45825,0.66258,1.6808,0.000351,0.000351,0.000351
120,60007.6,0.91695,0.48632,1.19749,0.8977,0.87201,0.88324,0.52657,1.50038,0.64032,1.76028,0.0003455,0.0003455,0.0003455
121,60503,0.90837,0.47393,1.17139,0.91069,0.8781,0.8848,0.52707,1.48088,0.6348,1.72998,0.00034,0.00034,0.00034
122,61003.6,0.91675,0.49569,1.1875,0.89852,0.88571,0.89073,0.52193,1.4723,0.63317,1.72058,0.0003345,0.0003345,0.0003345
123,61533.2,0.9183,0.50747,1.20592,0.88804,0.88586,0.88449,0.52914,1.45685,0.6305,1.71698,0.000329,0.000329,0.000329
124,62035.4,0.91143,0.48359,1.18133,0.89597,0.87932,0.8841,0.52933,1.45363,0.63307,1.71252,0.0003235,0.0003235,0.0003235
125,62540.9,0.92632,0.49108,1.19308,0.90414,0.8827,0.88926,0.51896,1.51257,0.65837,1.75025,0.000318,0.000318,0.000318
126,63050.8,0.91852,0.48175,1.1951,0.91603,0.84468,0.88652,0.53645,1.42321,0.64595,1.69287,0.0003125,0.0003125,0.0003125
127,63548.2,0.88623,0.48,1.17169,0.91587,0.8525,0.89169,0.5384,1.42566,0.61726,1.72054,0.000307,0.000307,0.000307
128,64049.7,0.8908,0.46544,1.17568,0.90764,0.88215,0.90104,0.5344,1.49969,0.64341,1.7843,0.0003015,0.0003015,0.0003015
129,64542.3,0.86777,0.4568,1.18139,0.91182,0.86971,0.89261,0.53333,1.49646,0.63885,1.76667,0.000296,0.000296,0.000296
130,65037,0.86355,0.46076,1.15847,0.89446,0.87792,0.87643,0.53936,1.4417,0.61876,1.71996,0.0002905,0.0002905,0.0002905
131,65530.4,0.88675,0.45854,1.17798,0.92623,0.87124,0.89126,0.53124,1.46262,0.61484,1.72484,0.000285,0.000285,0.000285
132,66026,0.8986,0.46107,1.17758,0.89834,0.88174,0.88287,0.53617,1.4598,0.62559,1.74662,0.0002795,0.0002795,0.0002795
133,66521.8,0.8565,0.45537,1.14849,0.90153,0.88198,0.88371,0.52812,1.52301,0.63026,1.7934,0.000274,0.000274,0.000274
134,67014,0.84601,0.44944,1.13347,0.91263,0.85168,0.88525,0.52765,1.4903,0.61322,1.77396,0.0002685,0.0002685,0.0002685
135,67509.5,0.8882,0.45951,1.16083,0.88906,0.85234,0.88107,0.52911,1.50142,0.60903,1.76918,0.000263,0.000263,0.000263
136,68006.3,0.89166,0.46124,1.15893,0.89444,0.86652,0.87905,0.54218,1.4116,0.60092,1.71526,0.0002575,0.0002575,0.0002575
137,68534.2,0.85241,0.45328,1.17172,0.91433,0.84522,0.87854,0.53165,1.49346,0.6358,1.76222,0.000252,0.000252,0.000252
138,69039.4,0.8355,0.45002,1.13629,0.88926,0.85908,0.87437,0.53205,1.45734,0.63817,1.73001,0.0002465,0.0002465,0.0002465
